Voltage,Current
0,8.317664283893857e-05
-9.881042191112528e-05,0.00026876530942640135
7.108323276042938e-05,9.722391609102487e-05
7.628315432491351e-05,0.00011153235100209713
9.928539860993623e-05,7.407180499285459e-05
0.00015588490292429925,4.776607851917837e-05
0.0001028838544152677,0.0001139476103708148
6.378874648362399e-05,0.00012901231646537782
6.741158664226532e-05,0.00011295955628156661
7.331547327339649e-05,0.0001528353663161397
0.00010079796891659498,0.00012124210828915239
9.060691809281707e-05,0.00010156320474509682
0.00010466480161994696,8.407355213136066e-05
7.246161345392466e-05,0.00011320353485643863
0.00010176160838454962,9.644323959946632e-05
8.983183186501265e-05,0.0001280852756462991
0.00011005639797076583,0.0001096660434268415
0.00012826777170770444,9.41529826102954e-05
0.00012345770041325262,9.070936951558201e-05
9.284323702255885e-05,0.00012425430195063962
7.640762368635255e-05,0.00012454060048853257
6.94994719661012e-05,0.0001750634317951543
0.00012405516047562872,0.00010061498964205385
0.0001196364482522619,0.00012114454060792924
8.848131330189656e-05,0.00014245472615584731
9.79680148884654e-05,0.00015153016429394483
0.00016850378240781778,0.00011957095470279456
0.0001644584853962368,0.00012358218640545193
0.00014473576564341784,0.00013230416658973577
0.00013668500818312168,0.00013933607888426267
0.00014480448575044164,0.00017902484396472573
0.00014853862123753953,0.0001699850081979316
0.00016258171759545804,0.0001482610497623682
0.00015579953789711,0.00016741217812523245
0.0001643992541357875,0.0001473724864898067
0.00018074479885399342,0.00013303772779181598
0.00017663175050093203,0.00015401859302073716
0.0001289295105380006,0.00023117502533583618
0.00022940751763858965,0.00016567831127239124
0.00024509086387650093,0.0002545506921501792
0.00036111040211909886,0.0004007875663228333
0.0005622432871284533,0.0005609612479539854
0.0007020990454534791,0.0007969086885224191
0.000984075906857544,0.0009142476067479168
0.0011555099793310677,0.0011675836736982574
